,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
75,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,15,0,182,2.0,0.00,0.49,0.49,0.00,0,0,0,0
76,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,"3,330",37.0,0.00,0.03,0.03,0.00,0,0,1,0
77,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,36,25,"2,244",24.9,0.04,0.04,0.08,0.04,0,0,2,0
78,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,2,0,40,0.4,0.00,0.00,0.00,0.00,0,0,0,0
79,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,34,29,"2,539",28.2,0.07,0.14,0.21,0.07,0,0,3,0
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,34,29,"2,491",27.7,0.40,0.07,0.47,0.40,0,0,2,0
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,24,11,"1,172",13.0,0.08,0.00,0.08,0.08,0,0,3,0
82,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,26,14,"1,361",15.1,0.00,0.00,0.00,0.00,0,0,2,1
83,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,6,3,238,2.6,0.00,0.00,0.00,0.00,0,0,3,0
84,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,18,2003,1,0,10,0.1,0.00,0.00,0.00,0.00,0,0,1,0
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,22,16,"1,501",16.7,0.12,0.00,0.12,0.12,0,0,7,1
86,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,31,13,"1,465",16.3,0.55,0.00,0.55,0.49,1,1,0,0
87,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,22,1,368,4.1,0.24,0.24,0.49,0.24,0,0,1,0
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,28,27,"2,332",25.9,0.04,0.04,0.08,0.04,0,0,7,1
89,Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,7,4,424,4.7,0.00,0.00,0.00,0.00,0,0,2,0
90,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,7,3,267,3.0,0.67,0.34,1.01,0.67,0,0,2,1
91,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,20,18,"1,610",17.9,0.00,0.00,0.00,0.00,0,0,1,0
92,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,28,12,"1,227",13.6,0.15,0.00,0.15,0.15,0,0,2,1
93,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,5,1,200,2.2,0.00,0.00,0.00,0.00,0,0,2,1
94,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,1,0,17,0.2,0.00,0.00,0.00,0.00,0,0,0,0
